iter	TotalF1	MultiClass
0	0.720475078	0.9844190497
1	0.730563655	0.9021693028
2	0.7427088265	0.8431978502
3	0.758106728	0.7978550142
4	0.7754032918	0.7644239098
5	0.7826883252	0.7290319553
6	0.784019064	0.697964012
7	0.7891804353	0.6691426539
8	0.7928437829	0.64824112
9	0.7932933372	0.6254935261
10	0.7961712796	0.6098190195
11	0.8006618239	0.592481152
12	0.8052908196	0.5797996335
13	0.8116327593	0.5682764434
14	0.8229335714	0.5552691619
15	0.8290634111	0.5459868956
16	0.8261167491	0.5352393937
17	0.8268596592	0.526739661
18	0.8414596954	0.5166425821
19	0.8436759155	0.5073604001
20	0.8488736745	0.4980095381
21	0.8528544563	0.4904121578
22	0.8538563619	0.4829329117
23	0.8611102412	0.4729477201
24	0.8662847962	0.462942271
25	0.8632749948	0.4573424163
26	0.8661502561	0.4508351037
27	0.8689799147	0.4421006316
28	0.881234679	0.4296676045
29	0.8824497658	0.4189224378
30	0.8853948187	0.4101482034
31	0.8873252988	0.403852957
32	0.8894541401	0.3958422026
33	0.8924216997	0.3853130176
34	0.8978157373	0.3753544796
35	0.8998226704	0.3709765398
36	0.9017908716	0.3660334478
37	0.9080228708	0.3593279097
38	0.9050303437	0.3544259161
39	0.9059847017	0.3454324819
40	0.9090798913	0.3414840791
41	0.9183694423	0.3340788192
42	0.9194367748	0.3301395536
43	0.9265979665	0.3224719067
44	0.9265713928	0.3166404407
45	0.9286210628	0.311979358
46	0.9317919624	0.3080902648
47	0.9358204865	0.3036376188
48	0.93372976	0.3003618783
49	0.9357722683	0.2940934585
50	0.9388987435	0.2913618698
51	0.9409949985	0.2894074841
52	0.9440444761	0.2858987821
53	0.9450917504	0.2808786855
54	0.9471467861	0.2753129859
55	0.9481574856	0.2734868085
56	0.9481680046	0.2691683057
57	0.9512090871	0.2642442082
58	0.9552201887	0.2610231569
59	0.9563060053	0.2587308565
60	0.9573327982	0.2542135107
61	0.959367711	0.2511069258
62	0.9614152072	0.2488004811
63	0.9644587885	0.244231405
64	0.9654541842	0.2403565524
65	0.9685476444	0.2365548738
66	0.970551852	0.2318392784
67	0.9715804246	0.2284083516
68	0.9705475051	0.2259867994
69	0.9705475051	0.2237019238
70	0.9725820421	0.2208301203
71	0.9725820421	0.216552979
72	0.9766288635	0.2125232147
73	0.9735600388	0.2103967343
74	0.9745624595	0.207068346
75	0.9776144683	0.2049686965
76	0.9786423207	0.2028865913
77	0.9796502316	0.1998661493
78	0.9806810469	0.1980796507
79	0.9816973803	0.1948561793
80	0.9816973803	0.193026503
81	0.9847633019	0.1912930476
82	0.9847792255	0.1884604741
83	0.9858014792	0.1848034275
84	0.9858014792	0.1840651328
85	0.9868221624	0.1822928527
86	0.9878412984	0.178196859
87	0.9868221624	0.1746736797
88	0.9868221624	0.1731449154
89	0.9868221624	0.170904579
90	0.9888543514	0.1686935465
91	0.9878412984	0.1665237891
92	0.9898669322	0.1634592949

29
