iter	Passed	Remaining
0	149	13744
1	166	7567
2	184	5522
3	200	4461
4	217	3828
5	231	3355
6	250	3076
7	265	2824
8	281	2631
9	296	2462
10	312	2327
11	326	2203
12	339	2091
13	352	1988
14	365	1899
15	375	1808
16	387	1731
17	398	1660
18	412	1607
19	423	1547
20	435	1491
21	443	1431
22	455	1387
23	467	1342
24	478	1301
25	487	1256
26	495	1210
27	507	1178
28	519	1145
29	531	1116
30	543	1086
31	553	1055
32	564	1026
33	577	1001
34	589	976
35	598	946
36	608	921
37	616	892
38	627	869
39	641	849
40	652	826
41	662	804
42	671	781
43	683	761
44	695	741
45	707	722
46	719	703
47	729	684
48	740	664
49	751	645
50	826	680
51	833	657
52	842	635
53	852	615
54	862	595
55	870	575
56	878	554
57	885	534
58	893	514
59	898	494
60	904	474
61	909	454
62	916	436
63	923	418
64	931	401
65	939	384
66	947	367
67	954	350
68	958	333
69	965	317
70	974	301
71	982	286
72	990	271
73	998	256
74	1005	241
75	1011	226
76	1018	211
77	1025	197
78	1028	182
79	1036	168
80	1044	154
81	1050	140
82	1057	127
83	1065	114
84	1072	100
85	1079	87
86	1087	74
87	1094	62
88	1099	49
89	1106	36
90	1113	24
91	1121	12
92	1128	0
4	0
